,title,price
170,Starless Night,Rp 89.100
171,Damarez,Rp 89.100
172,Rahasia Nusantara: Candi Misterius Wangsa Syailendra,Rp 79.200
173,Guruku Sahabatku : Based On True Story,Rp 43.200
174,Denial,Rp 89.550
175,The Little Light Amola,Rp 63.000
176,Bertaut Rindu,Rp 88.200
177,Rara Mendut,Rp 87.600
178,KOMIK AL-BIRUNI GURU SEGALA ILMU,Rp 67.500
179,KOMIK KHULAFAUR RASYIDIN UTSMAN BIN AFFAN #3,Rp 108.900
180,Rumus Ciuman Sempurna (Kiss Quotient),Rp 79.200
181,Menyelamatkan Teete (Parole Teetee),Rp 55.200
182,Light Novel Detektif Conan: Masumi Sera Selection - Detective Returning from Abroad,Rp 56.000
183,Kenangan Manis Takkan Pernah Habis,Rp 55.200
184,The Boyfriend List,Rp 78.400
185,The Snatched and The Snapped,Rp 89.000
186,Lit: Left Unsaid,Rp 88.000
187,Pengantin Setan,Rp 79.200
188,Rumah di Mango Street (The House on Mango Street),Rp 55.200
189,Tragedi Pedang Keadilan,Rp 103.200
190,"Laiqa: Hijab For Sisters: Dia Ibu Yang Harus Dihormati, Fayla!",Rp 65.600
191,Light Novel: STAND BY ME DORAEMON 02,Rp 60.000
192,Anak Kantoran: Perjalanan Memaknai Hidup Dewasa Muda Di Dunia Kerja,Rp 120.000
193,MetroPop: Hingga Ujung Cakrawala,Rp 87.200
194,After All This Time,Rp 92.000
195,Sidney Sheldon's The Phoenix,Rp 111.200
196,Sihir Perempuan,Rp 71.200
197,Pada Sebuah Kapal,Rp 78.400
198,Sang Dewi Api (The Burning God),Rp 151.200
199,Garis Batas,Rp 119.200
200,MetroPop: Hingga Ujung Cakrawala,Rp 87.200
201,After All This Time,Rp 92.000
202,Sidney Sheldon's The Phoenix,Rp 111.200
203,Sihir Perempuan,Rp 71.200
204,Pada Sebuah Kapal,Rp 78.400
205,Sang Dewi Api (The Burning God),Rp 151.200
206,Garis Batas,Rp 119.200
207,Kebun Jagal,Rp 89.000
208,Sumur Anjing Gila,Rp 60.000
209,Lelap Dalam Lautan Bintang (To Sleep in a Sea of Stars#1),Rp 103.200
210,Sarhad,Rp 88.000
211,Mr. Ripley yang Lihai (The Talented Mr. Ripley),Rp 103.200
212,Sang Pemenang Berdiri Sendirian (The Winner Stands Alone),Rp 95.200
213,Sisi Tergelap Surga,Rp 79.200
214,Perempuan yang Menunggu di Lorong Menuju Laut,Rp 63.200
215,Oase Seorang Perempuan Adalah Pernikahannya,Rp 79.200
216,Para Perawan (The Maidens),Rp 87.200
217,Gentayangan,Rp 56.000
218,Kapan Nanti,Rp 78.400
219,Angsa dan Kelelawar,Rp 119.200
220,Lokananta,Rp 68.000
221,Laiqa: Nomik Hijab for Sisters 3: Setop Ngomongin Rain!,Rp 76.000
222,Konstelasi Andro & Mega (Dunia Tanpa Zodiak),Rp 86.400
223,Seperti Sungai yang Mengalir,Rp 71.200
224,Historical Romance: Bukan Kekasih Impian (When a Rogue Meets His Match),Rp 95.200
225,Historical Romance: Berawal dari Skandal (First Comes Scandal),Rp 87.200
226,Seandainya,Rp 103.200
227,Si Buku Bengis Kecil#2: Semakin Berbahaya,Rp 95.200
228,Si Buku Bengis Kecil#1,Rp 95.200
229,Serikat Anjing Mandiri,Rp 72.000
230,Mickey7,Rp 95.200
231,Historical Romance: Romansa Jentelmen Skotlandia (Devil in Disguise),Rp 95.200
232,Perempuan di Rumah No.8,Rp 79.200
233,The Night Swim,Rp 94.400
234,The Love Hypothesis (Hipotesis Cinta),Rp 87.200
235,Harlequin Koleksi Istimewa: Pengantin Taipan Yunani (Promoted to The Greek's Wife),Rp 55.200
236,Awal Antara Kita (It Starts with Us),Rp 87.200
237,Buku Panduan Matematika Terapan (Sampul 2024),Rp 119.000
238,Rumus Kebenaran Musim Panas: A Midsummer`s Equation (Manatsu no Hoteishiki),Rp 95.200
239,Balada Burung Penyanyi dan Ular (The Ballad of Songbirds & Snakes),Rp 119.200
240,Light Novel: Stand By Me Doraemon,Rp 60.000
241,The Richest Man In Babylon (2023),Rp 99.000
242,Dona Dona,Rp 71.200
243,Mengingat Yang Perlu Diingat,Rp 95.200
244,Ketujuh Suami Evelyn Hugo (The Seven Husbands of Evelyn Hugo),Rp 103.200
245,Classics: Berkeliling Dunia di Bawah Laut (Twenty Thousand Leagues Under the Sea),Rp 63.200
246,Corat-coret di Toilet,Rp 63.200
